DATE,ASCOEPQ027S
1946-10-01,122525.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,132292.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,144227.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,144276.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,158191.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,185691.0
1952-01-01,196095.0
1952-04-01,197424.0
1952-07-01,201501.0
1952-10-01,209324.0
1953-01-01,213130.0
1953-04-01,216216.0
1953-07-01,216530.0
1953-10-01,215136.0
1954-01-01,213169.0
1954-04-01,212741.0
1954-07-01,213281.0
1954-10-01,217593.0
1955-01-01,221965.0
1955-04-01,228153.0
1955-07-01,233980.0
1955-10-01,238461.0
1956-01-01,242910.0
1956-04-01,247573.0
1956-07-01,250502.0
1956-10-01,256445.0
1957-01-01,260300.0
1957-04-01,262135.0
1957-07-01,264802.0
1957-10-01,263379.0
1958-01-01,259839.0
1958-04-01,259498.0
1958-07-01,267300.0
1958-10-01,272335.0
1959-01-01,279827.0
1959-04-01,286539.0
1959-07-01,287007.0
1959-10-01,290268.0
1960-01-01,298890.0
1960-04-01,301871.0
1960-07-01,302728.0
1960-10-01,302259.0
1961-01-01,303256.0
1961-04-01,307457.0
1961-07-01,312464.0
1961-10-01,319083.0
1962-01-01,325577.0
1962-04-01,331522.0
1962-07-01,334336.0
1962-10-01,337753.0
1963-01-01,342717.0
1963-04-01,347623.0
1963-07-01,352707.0
1963-10-01,358837.0
1964-01-01,365229.0
1964-04-01,372676.0
1964-07-01,380065.0
1964-10-01,386147.0
1965-01-01,392925.0
1965-04-01,399920.0
1965-07-01,408335.0
1965-10-01,420458.0
1966-01-01,433085.0
1966-04-01,444388.0
1966-07-01,455645.0
1966-10-01,463780.0
1967-01-01,469977.0
1967-04-01,475619.0
1967-07-01,485242.0
1967-10-01,496206.0
1968-01-01,510860.0
1968-04-01,523980.0
1968-07-01,537809.0
1968-10-01,550305.0
1969-01-01,562744.0
1969-04-01,576697.0
1969-07-01,593413.0
1969-10-01,604895.0
1970-01-01,614930.0
1970-04-01,620210.0
1970-07-01,628171.0
1970-10-01,629984.0
1971-01-01,647880.0
1971-04-01,659773.0
1971-07-01,670088.0
1971-10-01,682154.0
1972-01-01,708354.0
1972-04-01,722473.0
1972-07-01,735744.0
1972-10-01,758766.0
1973-01-01,785423.0
1973-04-01,803227.0
1973-07-01,820420.0
1973-10-01,841710.0
1974-01-01,858356.0
1974-04-01,878511.0
1974-07-01,900218.0
1974-10-01,913860.0
1975-01-01,918423.0
1975-04-01,931218.0
1975-07-01,956033.0
1975-10-01,983422.0
1976-01-01,1014752.0
1976-04-01,1035541.0
1976-07-01,1058412.0
1976-10-01,1084831.0
1977-01-01,1113341.0
1977-04-01,1150353.0
1977-07-01,1182171.0
1977-10-01,1217684.0
1978-01-01,1251010.0
1978-04-01,1299226.0
1978-07-01,1336958.0
1978-10-01,1380257.0
1979-01-01,1422587.0
1979-04-01,1454820.0
1979-07-01,1496791.0
1979-10-01,1535010.0
1980-01-01,1573692.0
1980-04-01,1599268.0
1980-07-01,1628697.0
1980-10-01,1687725.0
1981-01-01,1739768.0
1981-04-01,1774906.0
1981-07-01,1815241.0
1981-10-01,1840808.0
1982-01-01,1864869.0
1982-04-01,1884558.0
1982-07-01,1904945.0
1982-10-01,1918325.0
1983-01-01,1947394.0
1983-04-01,1986471.0
1983-07-01,2029805.0
1983-10-01,2086974.0
1984-01-01,2144073.0
1984-04-01,2195373.0
1984-07-01,2241817.0
1984-10-01,2283068.0
1985-01-01,2323735.0
1985-04-01,2363862.0
1985-07-01,2406632.0
1985-10-01,2455929.0
1986-01-01,2493036.0
1986-04-01,2519014.0
1986-07-01,2556896.0
1986-10-01,2606435.0
1987-01-01,2649361.0
1987-04-01,2693567.0
1987-07-01,2741443.0
1987-10-01,2810672.0
1988-01-01,2858473.0
1988-04-01,2924054.0
1988-07-01,2976558.0
1988-10-01,3036327.0
1989-01-01,3080126.0
1989-04-01,3115774.0
1989-07-01,3156319.0
1989-10-01,3211327.0
1990-01-01,3274921.0
1990-04-01,3336913.0
1990-07-01,3374835.0
1990-10-01,3384050.0
1991-01-01,3389868.0
1991-04-01,3430273.0
1991-07-01,3472728.0
1991-10-01,3520192.0
1992-01-01,3598666.0
1992-04-01,3654900.0
1992-07-01,3691394.0
1992-10-01,3739889.0
1993-01-01,3748676.0
1993-04-01,3803527.0
1993-07-01,3837401.0
1993-10-01,3892833.0
1994-01-01,3917304.0
1994-04-01,3995615.0
1994-07-01,4035771.0
1994-10-01,4092136.0
1995-01-01,4138481.0
1995-04-01,4176938.0
1995-07-01,4223789.0
1995-10-01,4269498.0
1996-01-01,4318408.0
1996-04-01,4391572.0
1996-07-01,4455328.0
1996-10-01,4518961.0
1997-01-01,4596567.0
1997-04-01,4664319.0
1997-07-01,4743318.0
1997-10-01,4848680.0
1998-01-01,4946382.0
1998-04-01,5032752.0
1998-07-01,5119465.0
1998-10-01,5204208.0
1999-01-01,5294986.0
1999-04-01,5351497.0
1999-07-01,5430455.0
1999-10-01,5562791.0
2000-01-01,5756349.0
2000-04-01,5799292.0
2000-07-01,5911457.0
2000-10-01,5951419.0
2001-01-01,6057905.0
2001-04-01,6048790.0
2001-07-01,6032702.0
2001-10-01,6045976.0
2002-01-01,6068740.0
2002-04-01,6137268.0
2002-07-01,6165291.0
2002-10-01,6202172.0
2003-01-01,6221885.0
2003-04-01,6315763.0
2003-07-01,6402369.0
2003-10-01,6509165.0
2004-01-01,6550843.0
2004-04-01,6678479.0
2004-07-01,6813400.0
2004-10-01,6874482.0
2005-01-01,6937715.0
2005-04-01,7017127.0
2005-07-01,7134214.0
2005-10-01,7221831.0
2006-01-01,7391390.0
2006-04-01,7439589.0
2006-07-01,7498469.0
2006-10-01,7635573.0
2007-01-01,7816971.0
2007-04-01,7856222.0
2007-07-01,7895385.0
2007-10-01,7988896.0
2008-01-01,8067816.0
2008-04-01,8066295.0
2008-07-01,8085250.0
2008-10-01,8055357.0
2009-01-01,7739385.0
2009-04-01,7770265.0
2009-07-01,7754474.0
2009-10-01,7804640.0
2010-01-01,7774624.0
2010-04-01,7918168.0
2010-07-01,7990231.0
2010-10-01,8048854.0
2011-01-01,8177679.0
2011-04-01,8214104.0
2011-07-01,8295333.0
2011-10-01,8248936.0
2012-01-01,8464321.0
2012-04-01,8512111.0
2012-07-01,8554266.0
2012-10-01,8770786.0
2013-01-01,8740945.0
2013-04-01,8828114.0
2013-07-01,8854208.0
2013-10-01,8951284.0
2014-01-01,9123341.0
2014-04-01,9181919.0
2014-07-01,9290227.0
2014-10-01,9443131.0
2015-01-01,9573603.0
2015-04-01,9676041.0
2015-07-01,9762001.0
2015-10-01,9826496.0
2016-01-01,9861093.0
2016-04-01,9914029.0
2016-07-01,10006800.0
2016-10-01,10117458.0
2017-01-01,10233292.0
2017-04-01,10345869.0
2017-07-01,10487644.0
2017-10-01,10665568.0
2018-01-01,10786382.0
2018-04-01,10892574.0
2018-07-01,11044852.0
2018-10-01,11118459.0
2019-01-01,11346900.0
2019-04-01,11403563.0
2019-07-01,11450075.0
2019-10-01,11577444.0
2020-01-01,11686291.0
2020-04-01,10957993.0
2020-07-01,11475760.0
2020-10-01,11717382.0
